time,force,position,velocity,acceleration,kinetic_energy,gravitational_potential_energy,total_mechanic_energy
14.55,-2.57,1.1736,-0.092,-3.676,0.001062232,0.0014172925985507293,0.0024795245985507293
14.599999999999998,-0.11,1.1558,-0.278,-2.344,0.009699142000000003,0.003258738456521748,0.01295788045652175
14.649999999999999,-0.09,1.1388,-0.328,-0.763,0.013501792000000002,0.005017422702898549,0.01851921470289855
14.7,-0.14,1.123,-0.309,0.152,0.0119828655,0.00665196453188406,0.01863483003188406
14.75,-0.09,1.108,-0.29,0.391,0.01055455,0.008203744749275354,0.018758294749275352
14.8,-0.1,1.0939,-0.27,0.403,0.009148950000000001,0.009662418153623181,0.018811368153623182
14.849999999999998,-0.13,1.0809,-0.249,0.422,0.0077811255000000005,0.01100729434202899,0.01878841984202899
14.899999999999999,-0.11,1.069,-0.228,0.45,0.006523992,0.01223837331449276,0.01876236531449276
14.95,-0.11,1.058,-0.205,0.478,0.005274137499999999,0.01337634547391304,0.01865048297391304
15,-0.12,1.0483,-0.179,0.484,0.0040211455,0.014379830014492754,0.018400975514492754
15.05,-0.11,1.0402,-0.155,0.459,0.0030151375000000004,0.015217791331884058,0.018232928831884057
15.099999999999998,-0.12,1.033,-0.133,0.431,0.0022199695000000006,0.015962645836231894,0.018182615336231896
15.149999999999999,-0.14,1.0268,-0.113,0.422,0.0016025095000000002,0.016604048326086966,0.018206557826086968
15.2,-0.11,1.0216,-0.092,0.424,0.001062232,0.01714199880144927,0.01820423080144927
15.25,-0.1,1.0176,-0.07,0.418,6.149500000000001e-4,0.017555806859420285,0.018170756859420285
15.3,-0.12,1.0147,-0.049,0.4,3.0132550000000003e-4,0.017855817701449284,0.018157143201449285
15.349999999999998,-0.11,1.0128,-0.03,0.385,1.1295e-4,0.018052376528985517,0.018165326528985518
15.399999999999999,-0.11,1.0117,-0.011,0.379,1.5185499999999999e-5,0.018166173744927534,0.018181359244927534
15.45,-0.13,1.0116,0.008,0.375,8.032e-6,0.01817651894637681,0.01818455094637681
15.5,-0.12,1.0125,0.026,0.372,8.483799999999999e-5,0.01808341213333334,0.01816825013333334
15.55,-0.11,1.0142,0.044,0.375,2.4296799999999998e-4,0.017907543708695656,0.018150511708695655
15.599999999999998,-0.12,1.0169,0.063,0.379,4.981095e-4,0.01762822326956523,0.01812633276956523
15.649999999999999,-0.12,1.0205,0.083,0.38,8.645695000000001e-4,0.01725579601739131,0.01812036551739131
15.7,-0.11,1.0253,0.101,0.381,0.0012802255000000002,0.01675922634782608,0.018039451847826078
15.75,-0.11,1.0307,0.12,0.389,0.0018072,0.016200585469565223,0.018007785469565222
15.8,-0.12,1.0372,0.14,0.402,0.0024598000000000003,0.015528147375362332,0.017987947375362332
15.849999999999998,-0.12,1.0448,0.161,0.41,0.0032530855000000003,0.014741912065217399,0.0179949975652174
15.899999999999999,-0.11,1.0533,0.181,0.412,0.004111505499999999,0.013862569942028998,0.017974075442028996
15.95,-0.11,1.0629,0.202,0.406,0.005120902000000001,0.012869430602898557,0.01799033260289856
16,-0.11,1.0735,0.223,0.383,0.0062409895,0.011772839249275377,0.018013828749275377
16.05,-0.11,1.0852,0.241,0.348,0.007289165499999999,0.010562450679710152,0.01785161617971015
16.099999999999998,-0.11,1.0978,0.257,0.325,0.008289149499999999,0.00925895529710144,0.01754810479710144
16.15,-0.11,1.111,0.272,0.33,0.009284992,0.007893388705797104,0.017178380705797105
16.2,-0.12,1.1248,0.289,0.136,0.010481885499999998,0.0064657509057971015,0.0169476364057971
16.25,-0.11,1.1397,0.308,-0.649,0.011905432,0.004924315889855081,0.01682974788985508
16.3,-0.1,1.1559,0.262,-1.97,0.008614822000000001,0.0032483932550724736,0.011863215255072475
16.349999999999998,-2.28,1.1724,0.105,-3.007,0.0013836374999999998,0.00154143501594202,0.00292507251594202
16.4,-1.59,1.1708,-0.098,-2.867,0.0012053020000000001,0.0017069582391304307,0.0029122602391304306
16.45,-0.09,1.1562,-0.234,-1.68,0.0068718780000000005,0.003217357650724651,0.010089235650724651
16.5,-0.12,1.1425,-0.26,-0.407,0.008483800000000001,0.004634650249275357,0.013118450249275358
16.55,-0.12,1.1304,-0.238,0.275,0.007108821999999999,0.005886419624637676,0.012995241624637676
16.599999999999998,-0.09,1.1188,-0.216,0.428,0.005855328,0.007086462992753624,0.012941790992753624
16.65,-0.13,1.1086,-0.195,0.415,0.004772137500000001,0.00814167354057971,0.01291381104057971
16.7,-0.11,1.0995,-0.174,0.399,0.0037996379999999997,0.009083086872463779,0.012882724872463778
16.75,-0.1,1.0912,-0.156,0.399,0.003054168,0.009941738592753631,0.01299590659275363
16.8,-0.12,1.0838,-0.136,0.418,0.002321248,0.010707283499999993,0.013028531499999992
16.849999999999998,-0.12,1.0775,-0.114,0.438,0.001630998,0.01135903119130436,0.01299002919130436
16.9,-0.11,1.0724,-0.091,0.445,0.0010392655,0.011886636465217391,0.012925901965217392
16.95,-0.11,1.0686,-0.069,0.447,5.975055000000001e-4,0.012279754120289857,0.012877259620289856
17,-0.11,1.0655,-0.047,0.455,2.772295e-4,0.012600455365217405,0.012877684865217405
17.05,-0.12,1.0637,-0.023,0.458,6.63895e-5,0.01278666899130434,0.01285305849130434
17.099999999999998,-0.12,1.0632,-2.22e-15,0.445,6.185142000000001e-31,0.012838394998550735,0.012838394998550735
17.15,-0.11,1.0638,0.021,0.423,5.534550000000001e-5,0.012776323789855066,0.012831669289855066
17.2,-0.11,1.0654,0.042,0.407,2.2138200000000003e-4,0.012610800566666679,0.01283218256666668
17.25,-0.11,1.068,0.062,0.397,4.82422e-4,0.012341825328985503,0.012824247328985502
17.3,-0.12,1.0716,0.082,0.388,8.438620000000001e-4,0.011969398076811586,0.012813260076811587
17.349999999999998,-0.12,1.0762,0.101,0.379,0.0012802255000000002,0.011493518810144925,0.012773744310144925
17.4,-0.12,1.0817,0.119,0.371,0.0017772054999999998,0.010924532730434774,0.012701738230434774
17.45,-0.11,1.0881,0.138,0.36,0.0023900220000000003,0.010262439837681155,0.012652461837681156
17.5,-0.11,1.0955,0.156,0.346,0.003054168,0.009496894930434794,0.012551062930434793
17.55,-0.12,1.1037,0.172,0.34,0.0037127919999999995,0.008648588411594216,0.012361380411594215
17.599999999999998,-0.12,1.1127,0.189,0.35,0.004482985500000001,0.007717520281159421,0.012200505781159422
17.65,-0.1,1.1225,0.207,0.369,0.0053775494999999994,0.006703690539130431,0.012081240039130432
17.7,-0.11,1.1333,0.226,0.197,0.006410038000000001,0.005586408782608701,0.011996446782608701
17.75,-0.11,1.1451,0.245,-0.477,0.007533137499999999,0.004365675011594204,0.011898812511594203
17.8,-0.1,1.1581,0.209,-1.584,0.0054819655,0.003020798823188418,0.008502764323188418
17.849999999999998,-1.95,1.1714,0.081,-2.44,8.234055e-4,0.0016448870304347852,0.002468292530434785
17.9,-1.27,1.1697,-0.084,-2.307,8.855280000000001e-4,0.00182075545507247,0.00270628345507247
17.95,-0.09,1.1577,-0.193,-1.303,0.0046747495,0.0030621796289855147,0.007736929128985515
18,-0.12,1.1464,-0.209,-0.233,0.0054819655,0.004231187392753616,0.009713152892753617
18.05,-0.12,1.1367,-0.186,0.331,0.004341798,0.005234671933333331,0.009576469933333331
18.099999999999998,-0.11,1.128,-0.162,0.446,0.003293622,0.006134704459420303,0.009428326459420303
18.15,-0.12,1.1205,-0.141,0.424,0.0024950654999999996,0.006910594568115939,0.009405660068115938
18.2,-0.13,1.114,-0.12,0.41,0.0018072,0.007583032662318832,0.009390232662318832
18.25,-0.11,1.1085,-0.1,0.408,0.0012550000000000003,0.008152018742028984,0.009407018742028985
18.3,-0.11,1.104,-0.08,0.411,8.032e-4,0.00861755280724637,0.00942075280724637
18.349999999999998,-0.11,1.1005,-0.059,0.411,4.368655e-4,0.008979634857971014,0.009416500357971013
18.4,-0.11,1.0982,-0.038,0.407,1.81222e-4,0.009217574491304344,0.009398796491304344
18.45,-0.13,1.0967,-0.018,0.404,4.0662e-5,0.00937275251304348,0.009413414513043481
18.5,-0.11,1.0962,0.002,0.4,5.02e-7,0.009424478520289851,0.00942498052028985
18.55,-0.11,1.0969,0.022,0.388,6.0741999999999995e-5,0.009352062110144931,0.009412804110144932
18.599999999999998,-0.11,1.0985,0.041,0.372,2.1096550000000003e-4,0.009186538886956521,0.009397504386956522
18.65,-0.11,1.1011,0.059,0.361,4.368655e-4,0.008917563649275368,0.009354429149275367
18.7,-0.11,1.1045,0.077,0.36,7.440895e-4,0.008565826799999999,0.009309916299999998
18.75,-0.12,1.1087,0.095,0.362,0.0011326375,0.008131328339130436,0.009263965839130436
18.8,-0.12,1.1139,0.113,0.365,0.0016025095000000002,0.007593377863768129,0.00919588736376813
18.849999999999998,-0.12,1.1201,0.131,0.372,0.0021537055000000003,0.006951975373913036,0.009105680873913037
